coach_id,coach_name,first_hc_year,n_hc_seasons_tree,repro_fitness,offspring,coach_canon,career_mean_war,career_total_war,n_hc_seasons,gene_aggression,gene_shotgun,gene_tempo,gene_defensive_scheme
kyle_shanahan,Kyle Shanahan,2017,9,3,DeMeco Ryans; Mike McDaniel; Robert Saleh,kyle shanahan,0.09435514418184753,0.7548411534547802,8.0,-0.7104966581913831,-0.15071046358494117,-0.80603490022171,-0.0183769391837304
ken_whisenhunt,Ken Whisenhunt,2007,8,3,Frank Reich; Freddie Kitchens; Todd Haley,ken whisenhunt,-0.02291862728893756,-0.18334901831150047,8.0,0.13186534684119258,-0.14030087706651362,-0.31585861104824087,
chris_palmer,Chris Palmer,1999,2,3,Ken Whisenhunt; Romeo Crennel; Tony Sparano,chris palmer,-0.16657373309135437,-0.33314746618270874,2.0,,,,
dave_wannstedt,Dave Wannstedt,1993,11,3,Dave McGinnis; Greg Schiano; Marc Trestman,dave wannstedt,-0.01647124671069058,-0.18118371381759638,11.0,,,,
nick_saban,Nick Saban,2005,2,3,Dan Quinn; Jason Garrett; Scott Linehan,nick saban,-0.0064918100833893,-0.0129836201667786,2.0,-0.1901914541094784,0.3197058037711293,0.4775889568487175,
walt_michaels,Walt Michaels,1977,6,2,Dan Henning; Joe Walton,walt michaels,0.021057657253742215,0.1263459435224533,6.0,,,,
red_miller,Red Miller,1977,4,2,Bill Belichick; Rod Dowhower,red miller,0.10008545717000959,0.40034182868003837,4.0,,,,
neill_armstrong,Neill Armstrong,1978,4,2,Buddy Ryan; Hank Kuhlmann,neill armstrong,-0.010485328733921051,-0.041941314935684204,4.0,,,,
adam_gase,Adam Gase,2016,5,2,Ben Johnson; Vance Joseph,adam gase,0.04668399393558502,0.2334199696779251,5.0,-0.6561233744889111,0.39628361616616464,-0.4513247579737317,0.09902300071634706
rod_dowhower,Rod Dowhower,1985,2,2,Brad Childress; Rick Venturi,rod dowhower,-0.108987919986248,-0.217975839972496,2.0,,,,
dick_vermeil,Dick Vermeil,1976,15,2,Mike Martz; Rod Rust,dick vermeil,-0.027340888827641806,-0.4101133324146271,15.0,,,,
dennis_erickson,Dennis Erickson,1995,6,2,Dan Quinn; Jim Mora Jr,dennis erickson,-0.030018823842207564,-0.18011294305324538,6.0,,,,
mike_vrabel,Mike Vrabel,2018,7,2,Arthur Smith; Matt LaFleur,mike vrabel,0.0893695836226145,0.536217501735687,6.0,-0.674516905379397,-0.4860712704273588,-0.04043863303828412,-0.5445126082403019
chuck_pagano,Chuck Pagano,2012,6,2,Brian Schottenheimer; Bruce Arians,chuck pagano,0.10099691649278002,0.6059814989566801,6.0,0.6046351850146752,-0.12270085190350688,0.16892268372049388,-0.4298914740924237
dan_campbell,Dan Campbell,2021,5,2,Aaron Glenn; Ben Johnson,dan campbell,0.03299525525569913,0.13198102102279652,4.0,0.23294902403312806,0.045480341642997614,-0.2137287720120901,1.0854169504039688
dan_devine,Dan Devine,1971,4,2,Bart Starr; Hank Kuhlmann,dan devine,0.020657521152496347,0.08263008460998539,4.0,,,,
dan_henning,Dan Henning,1983,7,2,Gunther Cunningham; Jim Mora Jr,dan henning,-0.05114985482352118,-0.3580489837646483,7.0,,,,
dan_quinn,Dan Quinn,2015,8,2,Kyle Shanahan; Matt LaFleur,dan quinn,-0.09143215609959195,-0.6400250926971436,7.0,0.7070737517688467,-0.17447014261542515,0.6465094871517097,-0.044472720690631275
gary_kubiak,Gary Kubiak,2006,10,2,Kyle Shanahan; Vance Joseph,gary kubiak,0.02067873073101044,0.2067873073101044,10.0,-0.4577782671688134,-1.4228424477317632,-0.3474291714043897,1.807641851716112
gus_bradley,Gus Bradley,2013,4,2,Nathaniel Hackett; Robert Saleh,gus bradley,-0.10108339911103242,-0.4043335964441297,4.0,0.37327125689014656,0.44611723149159477,0.6830740719585883,-0.0392071257542899
hal_hunter,Hal Hunter,1984,1,2,Gunther Cunningham; Rick Venturi,hal hunter,,,,,,,
hank_stram,Hank Stram,1970,7,2,Rich Kotite; Sam Rutigliano,hank stram,-0.03312716738837103,-0.23189017171859722,7.0,,,,
mike_mccormack,Mike McCormack,1973,6,2,Dick LeBeau; Walt Michaels,mike mccormack,-0.07537203696250913,-0.3768601848125457,5.0,,,,
mike_singletary,Mike Singletary,2009,2,2,Jim Tomsula; Vance Joseph,mike singletary,-0.19826951346397395,-0.3965390269279479,2.0,-0.7068435347118847,-0.9134809660253099,-0.6773983819401536,
matt_nagy,Matt Nagy,2018,4,2,Brandon Staley; Vic Fangio,matt nagy,0.05898611659407613,0.2359444663763045,4.0,0.8119095809017862,1.0917080056587114,-0.09575238374935754,-0.844669497333551
mike_holovak,Mike Holovak,1976,1,2,Dan Henning; Walt Michaels,mike holovak,,,,,,,
chan_gailey,Chan Gailey,1998,5,2,Dave Campo; Mike Zimmer,chan gailey,-0.0410510957241058,-0.205255478620529,5.0,-0.6583767982059942,0.1392045651818698,-1.0444736435624231,
kay_stephenson,Kay Stephenson,1983,3,2,Hank Bullough; Pete Carroll,kay stephenson,-0.10895488162835437,-0.3268646448850631,3.0,,,,
doug_marrone,Doug Marrone,2013,6,2,Mike Pettine; Nathaniel Hackett,doug marrone,-0.06614209214846291,-0.3968525528907775,6.0,0.04462557263559387,0.6461110804831891,0.5913613827674633,0.5426361437447079
john_sandusky,John Sandusky,1972,1,2,Hank Bullough; Red Miller,john sandusky,,,,,,,
john_robinson,John Robinson,1983,9,2,Jeff Fisher; Norv Turner,john robinson,-0.001994592282507165,-0.017951330542564488,9.0,,,,
joe_walton,Joe Walton,1983,7,2,Bud Carson; Rich Kotite,joe walton,-0.0137735303878784,-0.0964147127151488,7.0,,,,
john_mcvay,John McVay,1976,3,2,Lindy Infante; Marty Schottenheimer,john mcvay,0.0688154498815536,0.1376308997631072,2.0,,,,
